;###001 - THIS LINE CONTAINS VERSION INFORMATION. DO NOT REMOVE!!!

;ALARMS
 
;Analog Alarms
;Analog A,Tagname,HandshakeTagName,HandshakeAutoReset,Acktagname,AckAutoreset,Deadbandvalue,DeadbandType,Outofalarmlabel,AlarmIdentification,Ack File Msg,Ack Printer Message, Ack Message Source,Out of Alm file msg,Out of Alm printer msg,Out of Alm Message Source ,Thresh1 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh2 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh3 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh4 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh5 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh6 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh7 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh8 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,
 
;Digital Alarms
;Digital D,Tagname,type,Label,Severity,Message Source,File msg,Printer msg,Out of alm msg source,Out Of alm File msg,Out of alm Printer msg,Ack msg source,Ack File msg,Ack Printer msg,Alarm Identify,Out of alm label,Ack Tag Name,Ack Auto Reset,Handshake Tag Name,Handshake Auto Reset
"D","SLC140\Alarm\Aux_BatchTransfer","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\Aux_BoosterPump","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\Aux_CIP_SupplyPump","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\Aux_ProductReturnPump","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\Aux_ProductSupply","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\Aux_WaterSys_Pump","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\CIP_Paused","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\CIP_VerifyDosing","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\ControlDataHiway_Fail","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\Discharge_Suspended","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\EStop_CP130","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\Filler11_Comm_Fail","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\Filler12_Comm_Fail","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\FillerCIP_CheckCond","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\HighFlow_ProductSpply","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\LowFlow_ProductSupply","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\Lvl_High_BalanceTank","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","SLC140\Alarm\Lvl_High_ReturnTank","ON","","1","S","","","S","","","S","","","","","","N","","N"
